index,ano,data,rodada,time,tecnico,colocacao,gols,total_gols,gols_outro_time,dif_gols,derrota,empate,vitoria,der_acum_ult5,emp_acum_ult5,vit_acum_ult5,vit_acum_tot,emp_acum_tot,der_acum_tot,id_tecnico,id_tecnico_lagged,demissao,Comeco,Interino,tempo_tec
5896,2018,2018-04-15,1,Atlético-MG,Thiago Larghi,13.0,1.0,3.0,2.0,-1.0,1,0,0,1,0,0,0,0,1,1.0,1.0,0.0,2018-02-09,0,65 days
5903,2018,2018-04-22,2,Atlético-MG,Thiago Larghi,13.0,2.0,3.0,1.0,1.0,0,0,1,1,0,1,1,0,1,1.0,1.0,0.0,2018-02-09,0,72 days
5911,2018,2018-04-29,3,Atlético-MG,Thiago Larghi,11.0,1.0,1.0,0.0,1.0,0,0,1,1,0,2,2,0,1,1.0,1.0,0.0,2018-02-09,0,79 days
5921,2018,2018-05-06,4,Atlético-MG,Thiago Larghi,4.0,2.0,4.0,2.0,0.0,0,1,0,1,1,2,2,1,1,1.0,1.0,0.0,2018-02-09,0,86 days
5935,2018,2018-05-13,5,Atlético-MG,Thiago Larghi,6.0,2.0,3.0,1.0,1.0,0,0,1,1,1,3,3,1,1,1.0,1.0,0.0,2018-02-09,0,93 days
5940,2018,2018-05-19,6,Atlético-MG,Thiago Larghi,3.0,1.0,1.0,0.0,1.0,0,0,1,0,1,4,4,1,1,1.0,1.0,0.0,2018-02-09,0,99 days
5952,2018,2018-05-27,7,Atlético-MG,Thiago Larghi,1.0,0.0,1.0,1.0,-1.0,1,0,0,1,1,3,4,1,2,1.0,1.0,0.0,2018-02-09,0,107 days
5961,2018,2018-05-31,8,Atlético-MG,Thiago Larghi,3.0,2.0,5.0,3.0,-1.0,1,0,0,2,1,2,4,1,3,1.0,1.0,0.0,2018-02-09,0,111 days
5970,2018,2018-06-02,9,Atlético-MG,Thiago Larghi,8.0,3.0,6.0,3.0,0.0,0,1,0,2,1,2,4,2,3,1.0,1.0,0.0,2018-02-09,0,113 days
5989,2018,2018-06-08,10,Atlético-MG,Thiago Larghi,10.0,3.0,4.0,1.0,2.0,0,0,1,2,1,2,5,2,3,1.0,1.0,0.0,2018-02-09,0,119 days
