index,ano,data,rodada,time,tecnico,colocacao,gols,total_gols,gols_outro_time,dif_gols,derrota,empate,vitoria
5890,2018,2018-04-14,1,Cruzeiro,Mano Menezes,15.0,0.0,1.0,1.0,-1.0,1,0,0
5894,2018,2018-04-15,1,Corinthians,Fábio Carille,5.0,2.0,3.0,1.0,1.0,0,0,1
5895,2018,2018-04-15,1,Internacional,Odair Hellmann,4.0,2.0,2.0,0.0,2.0,0,0,1
5898,2018,2018-04-17,1,Botafogo,Alberto Valentim,12.0,1.0,2.0,1.0,0.0,0,1,0
5899,2018,2018-04-17,1,São Paulo,Diego Aguirre,8.0,1.0,1.0,0.0,1.0,0,0,1
5901,2018,2018-04-22,2,Flamengo,Maurício Barbieri,9.0,2.0,2.0,0.0,2.0,0,0,1
5903,2018,2018-04-22,2,Atlético-MG,Thiago Larghi,13.0,2.0,3.0,1.0,1.0,0,0,1
5907,2018,2018-04-22,2,Palmeiras,Roger Machado,11.0,1.0,1.0,0.0,1.0,0,0,1
5908,2018,2018-04-23,2,Grêmio,Renato Gaúcho,7.0,0.0,0.0,0.0,0.0,0,1,0
5909,2018,2018-04-24,2,Sport Recife,Nelsinho Baptista,19.0,1.0,2.0,1.0,0.0,0,1,0
5910,2018,2018-04-28,3,Botafogo,Alberto Valentim,14.0,2.0,3.0,1.0,1.0,0,0,1
5911,2018,2018-04-29,3,Atlético-MG,Thiago Larghi,11.0,1.0,1.0,0.0,1.0,0,0,1
5916,2018,2018-04-29,3,Palmeiras,Roger Machado,5.0,0.0,0.0,0.0,0.0,0,1,0
5917,2018,2018-04-30,3,Internacional,Odair Hellmann,10.0,0.0,0.0,0.0,0.0,0,1,0
5921,2018,2018-05-06,4,São Paulo,Diego Aguirre,9.0,2.0,4.0,2.0,0.0,0,1,0
5922,2018,2018-05-06,4,Corinthians,Fábio Carille,2.0,1.0,2.0,1.0,0.0,0,1,0
5923,2018,2018-05-06,4,Cruzeiro,Mano Menezes,18.0,1.0,1.0,0.0,1.0,0,0,1
5926,2018,2018-05-06,4,Flamengo,Maurício Barbieri,1.0,2.0,2.0,0.0,2.0,0,0,1
5927,2018,2018-05-07,4,Sport Recife,Claudinei Oliveira,15.0,2.0,2.0,0.0,2.0,0,0,1
5928,2018,2018-05-07,4,Grêmio,Renato Gaúcho,13.0,5.0,6.0,1.0,4.0,0,0,1
5930,2018,2018-05-12,5,Grêmio,Renato Gaúcho,5.0,0.0,0.0,0.0,0.0,0,1,0
5931,2018,2018-05-13,5,Cruzeiro,Mano Menezes,14.0,2.0,2.0,0.0,2.0,0,0,1
5932,2018,2018-05-13,5,Corinthians,Fábio Carille,4.0,1.0,1.0,0.0,1.0,0,0,1
5938,2018,2018-05-15,5,Botafogo,Alberto Valentim,12.0,2.0,3.0,1.0,1.0,0,0,1
5940,2018,2018-05-19,6,Atlético-MG,Thiago Larghi,3.0,1.0,1.0,0.0,1.0,0,0,1
5941,2018,2018-05-20,6,Flamengo,Maurício Barbieri,1.0,1.0,2.0,1.0,0.0,0,1,0
5942,2018,2018-05-20,6,Palmeiras,Roger Machado,6.0,3.0,3.0,0.0,3.0,0,0,1
