tecnico,time,ano,Comeco,Saida,Duracao,Interino
Thiago Larghi,Atlético-MG,2018,09/02/2018,18/10/2018,8,0
Levir Culpi,Atlético-MG,2018,19/10/2018,11/04/2019,6,0
Alberto Valentim,Botafogo,2018,13/02/2018,19/06/2018,4,0
Marcos Paquetá,Botafogo,2018,26/06/2018,01/08/2018,1,0
Bruno Lazaroni,Botafogo,2018,,,,0
Zé Ricardo,Botafogo,2018,04/08/2018,12/04/2019,8,0
Fábio Carille,Corinthians,2018,22/12/2016,22/05/2018,17,0
Osmar Loss,Corinthians,2018,22/05/2018,05/09/2018,4,0
Jair Ventura,Corinthians,2018,06/09/2018,03/12/2018,3,0
Mano Menezes,Cruzeiro,2018,26/07/2016,08/08/2019,37,0
Maurício Barbieri,Flamengo,2018,14/04/2018,28/09/2018,6,0
Dorival Júnior,Flamengo,2018,28/09/2018,11/12/2018,2,0
Renato Gaúcho,Grêmio,2018,19/09/2016,15/04/2021,56,0
Odair Hellmann,Internacional,2018,14/11/2017,10/10/2019,23,0
Roger Machado,Palmeiras,2018,22/11/2017,26/07/2018,8,0
Wesley Carvalho,Palmeiras,2018,29/07/2018,29/07/2018,0,1
Luiz Felipe Scolari,Palmeiras,2018,03/08/2018,02/09/2019,13,0
Nelsinho Baptista,Sport Recife,2018,11/12/2017,24/04/2018,4,0
Claudinei Oliveira,Sport Recife,2018,25/04/2018,12/08/2018,4,0
Eduardo Baptista,Sport Recife,2018,15/08/2018,24/09/2018,1,0
Milton Mendes,Sport Recife,2018,26/09/2018,07/12/2018,2,0
Diego Aguirre,São Paulo,2018,15/03/2018,11/11/2018,8,0
André Jardine,São Paulo,2018,12/11/2018,12/11/2018,3,0
Rodrigo Santana,Atlético-MG,2019,12/04/2019,13/10/2019,6,0
Vágner Mancini,Atlético-MG,2019,14/10/2019,11/12/2019,2,0
Eduardo Barroca,Botafogo,2019,16/04/2019,06/10/2019,6,0
Bruno Lazaroni,Botafogo,2019,07/10/2019,12/10/2019,,1
Alberto Valentim,Botafogo,2019,12/10/2019,09/02/2020,4,0
Fábio Carille,Corinthians,2019,07/12/2018,03/11/2019,11,0
Coelho,Corinthians,2019,04/11/2019,08/12/2019,1,1
Mano Menezes,Cruzeiro,2019,26/07/2016,08/08/2019,37,0
Ricardo Resende,Cruzeiro,2019,,,,0
Rogério Ceni,Cruzeiro,2019,12/08/2019,26/09/2019,2,0
Abel Braga,Cruzeiro,2019,27/09/2019,28/11/2019,2,0
Adilson Batista,Cruzeiro,2019,29/11/2019,15/03/2020,4,0
Abel Braga,Flamengo,2019,11/12/2018,29/05/2019,6,0
Marcelo Salles,Flamengo,2019,29/05/2019,12/06/2019,1,1
Jorge Jesus,Flamengo,2019,13/06/2019,17/07/2020,13,0
Renato Gaúcho,Grêmio,2019,19/09/2016,15/04/2021,56,0
Odair Hellmann,Internacional,2019,14/11/2017,10/10/2019,23,0
Ricardo Colbachini,Internacional,2019,10/10/2019,21/10/2019,1,1
Zé Ricardo,Internacional,2019,21/10/2019,08/12/2019,2,0
Luiz Felipe Scolari,Palmeiras,2019,03/08/2018,02/09/2019,13,0
Mano Menezes,Palmeiras,2019,03/09/2019,01/12/2019,3,0
Andrey Lopes,Palmeiras,2019,02/12/2019,08/12/2019,1,1
Cuca,São Paulo,2019,01/04/2019,26/09/2019,6,0
Fernando Diniz,São Paulo,2019,26/09/2019,01/02/2021,16,0
Jorge Sampaoli,Atlético-MG,2020,09/03/2020,25/02/2021,12,0
Paulo Autuori,Botafogo,2020,12/02/2020,01/10/2020,8,0
Bruno Lazaroni,Botafogo,2020,01/10/2020,28/10/2020,1,0
Felipe Lucena,Botafogo,2020,,,,0
Flávio Tenius,Botafogo,2020,29/10/2020,08/11/2020,1,1
Emiliano Ramón Díaz,Botafogo,2020,09/11/2020,27/11/2020,1,1
Eduardo Barroca,Botafogo,2020,27/11/2020,06/02/2021,2,0
Lúcio Flávio,Botafogo,2020,07/02/2021,25/02/2021,1,1
Coelho,Corinthians,2020,12/09/2020,11/10/2020,1,1
Tiago Nunes,Corinthians,2020,09/12/2019,11/09/2020,7,0
Vágner Mancini,Corinthians,2020,12/10/2020,16/05/2021,7,0
Domènec Torrent,Flamengo,2020,31/07/2020,08/10/2020,3,0
Rogério Ceni,Flamengo,2020,10/11/2020,10/11/2020,8,0
Renato Gaúcho,Grêmio,2020,19/09/2016,15/04/2021,56,0
Eduardo Coudet,Internacional,2020,15/12/2019,09/11/2020,11,0
Abel Braga,Internacional,2020,10/11/2020,25/02/2021,4,0
Abel Ferreira,Palmeiras,2020,03/11/2020,-,,0
Vanderlei Luxemburgo,Palmeiras,2020,15/12/2019,14/10/2020,10,0
Andrey Lopes,Palmeiras,2020,15/10/2020,03/11/2020,1,1
Daniel Paulista,Sport Recife,2020,16/02/2020,24/08/2020,6,0
Jair Ventura,Sport Recife,2020,24/08/2020,05/04/2021,7,0
Fernando Diniz,São Paulo,2020,26/09/2019,01/02/2021,16,0
Vizolli,São Paulo,2020,02/02/2021,25/02/2021,1,1
